entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,label,anomaly_type,event_id
u_00106,user,2026-01-01 06:57:00,45.213.198.1,Singapore,mailbox,password,12.53,search > login > logout,android-67-c7:2c:d6:e3:18:78,normal,none,evt_000067
e_00107,edge_device,2026-01-01 07:07:00,103.165.31.231,India,vpn_gateway,certificate,5.4,read_sensor > read_sensor > telemetry_push > connect > heartbeat > telemetry_push,win-29-e4:19:6a:34:1a:6c,normal,none,evt_000068
u_00111,user,2026-01-01 07:08:00,45.245.45.142,Singapore,mailbox,biometric,8.18,download > search > read_file > read_file > login > download,ios-41-aa:68:70:6e:cc:a2,normal,none,evt_000069
u_00174,user,2026-01-01 07:18:00,45.186.246.19,Singapore,ticketing_portal,password,18.2,download > read_file > download,android-38-d7:09:72:cd:f3:40,normal,none,evt_000070
u_00147,user,2026-01-01 07:23:00,103.6.129.249,India,source_repo,certificate,9.88,read_file > logout > search > search > login > read_file,android-81-3f:c6:bc:4a:ad:40,normal,none,evt_000071
u_00090,user,2026-01-01 07:56:00,103.187.19.19,India,fileshare,password,12.76,login > login > logout > search,win-38-aa:21:a7:bb:a9:4e,normal,none,evt_000072
u_00238,user,2026-01-01 07:59:00,51.136.143.118,United Kingdom,ticketing_portal,token,15.76,login > login > login > read_file > login > login,ios-34-97:75:cc:2e:0e:87,normal,none,evt_000073
s_00022,service_account,2026-01-01 08:03:00,34.93.3.40,United States,api_gateway,token,11.37,auth > write_log > auth > logout > logout,win-38-4f:ec:24:ea:eb:99,normal,none,evt_000074
u_00135,user,2026-01-01 08:12:00,5.63.106.179,UAE,source_repo,password,8.15,login > search > login > search,android-31-8a:c3:0f:ee:5d:7f,normal,none,evt_000075
u_00199,user,2026-01-01 08:14:00,51.218.146.253,United Kingdom,vpn_gateway,password,7.58,logout > download > search > download,linux-89-b6:c3:15:33:46:4a,normal,none,evt_000076
u_00093,user,2026-01-01 08:16:00,51.31.26.11,United Kingdom,fileshare,biometric,14.83,read_file > logout > login > login > login,linux-38-db:8b:b4:7d:71:a1,normal,none,evt_000077
u_00129,user,2026-01-01 08:23:00,51.39.54.31,United Kingdom,mailbox,password,9.27,search > search > download > read_file,ios-14-99:fb:04:78:7e:e5,normal,none,evt_000078
u_00199,user,2026-01-01 08:25:00,51.110.124.229,United Kingdom,vpn_gateway,password,7.72,logout > login > login,linux-89-b6:c3:15:33:46:4a,normal,none,evt_000079
u_00228,user,2026-01-01 08:33:00,103.243.54.107,India,ticketing_portal,token,16.15,read_file > login > logout > download,android-91-e6:59:e0:e8:f5:59,normal,none,evt_000080
u_00029,user,2026-01-01 08:41:00,51.86.73.217,United Kingdom,fileshare,biometric,10.57,search > login > login > download,android-95-2b:cd:68:97:71:c8,normal,none,evt_000081
u_00094,user,2026-01-01 08:48:00,45.222.95.39,Singapore,ticketing_portal,password,8.54,read_file > read_file > login,ios-30-c3:1a:7b:a0:74:b3,normal,none,evt_000082
u_00168,user,2026-01-01 08:56:00,103.116.32.40,India,fileshare,token,11.3,logout > download > download > download > logout,ios-79-85:cf:38:b6:0b:1a,normal,none,evt_000083
u_00129,user,2026-01-01 08:59:00,51.243.29.141,United Kingdom,ticketing_portal,password,10.2,download > login > read_file > search > logout,ios-14-99:fb:04:78:7e:e5,normal,none,evt_000084
u_00081,user,2026-01-01 09:10:00,103.222.28.224,India,source_repo,biometric,15.99,read_file > logout > login > search > search,win-89-ba:19:62:43:2d:d8,normal,none,evt_000085
u_00138,user,2026-01-01 09:10:00,51.217.193.92,United Kingdom,ticketing_portal,token,9.1,read_file > download > login > download,ios-36-37:2b:39:31:bf:0e,normal,none,evt_000086
u_00122,user,2026-01-01 09:13:00,51.142.244.120,United Kingdom,fileshare,password,9.38,download > download > login > download,ios-35-32:f6:33:18:ac:de,normal,none,evt_000087
u_00144,user,2026-01-01 09:18:00,103.232.233.65,India,vpn_gateway,biometric,26.33,read_file > logout > logout > read_file > search,linux-85-a1:66:41:08:15:29,normal,none,evt_000088
u_00192,user,2026-01-01 09:26:00,103.174.161.88,India,admin_panel,password,15.04,login > search > read_file,android-33-52:1e:96:55:b7:7d,normal,none,evt_000089
u_00073,user,2026-01-01 09:50:00,103.23.78.174,India,source_repo,password,13.03,search > search > read_file > search > logout > download,android-24-ae:78:26:5c:f6:43,normal,none,evt_000090
u_00051,user,2026-01-01 09:56:00,45.146.125.44,Singapore,source_repo,token,12.81,read_file > download > read_file,win-63-91:01:6a:47:2b:b3,normal,none,evt_000091
u_00244,user,2026-01-01 09:58:00,45.133.2.171,Singapore,fileshare,token,7.42,login > logout > download > login > login,linux-63-9b:1e:47:3e:a3:54,normal,none,evt_000092
u_00061,user,2026-01-01 10:04:00,45.34.44.56,Singapore,ticketing_portal,token,15.71,logout > login > search > search > logout > search,android-86-79:f3:fe:96:ac:41,normal,none,evt_000093
u_00233,user,2026-01-01 10:06:00,45.214.228.240,Singapore,ticketing_portal,token,12.71,login > download > read_file > login > search > download,win-52-c8:d1:b1:be:10:57,normal,none,evt_000094
u_00174,user,2026-01-01 10:12:00,45.131.215.184,Singapore,mailbox,password,13.22,search > login > login > login,android-38-d7:09:72:cd:f3:40,normal,none,evt_000095
u_00142,user,2026-01-01 10:18:00,45.32.161.87,Singapore,vpn_gateway,token,6.69,search > search > download > logout > login > read_file,win-97-2a:69:a7:67:3e:ec,normal,none,evt_000096
u_00169,user,2026-01-01 10:24:00,51.202.157.171,United Kingdom,mailbox,password,8.89,read_file > logout > search > read_file > download,linux-22-d3:91:ec:6f:33:9b,normal,none,evt_000097
u_00211,user,2026-01-01 10:30:00,103.141.105.51,India,source_repo,biometric,14.07,login > logout > read_file > login,android-23-e6:ed:b9:1b:11:0e,normal,none,evt_000098
u_00166,user,2026-01-01 10:34:00,103.102.168.228,India,vpn_gateway,password,14.39,download > logout > read_file > logout,ios-89-20:02:8c:2d:98:e7,normal,none,evt_000099
u_00230,user,2026-01-01 10:38:00,103.212.76.254,India,fileshare,biometric,11.19,login > logout > login > login,ios-98-93:49:dc:43:4a:d4,normal,none,evt_000100
u_00003,user,2026-01-01 10:48:00,51.50.140.167,United Kingdom,mailbox,token,15.68,login > search > search > logout > search,ios-24-d5:a1:b3:18:4f:c4,normal,none,evt_000101
u_00233,user,2026-01-01 11:03:00,45.182.106.81,Singapore,ticketing_portal,token,10.35,login > logout > download,win-52-c8:d1:b1:be:10:57,normal,none,evt_000102
u_00088,user,2026-01-01 11:09:00,103.169.201.175,India,source_repo,password,11.57,read_file > download > read_file,ios-61-0a:fc:73:4a:e4:bf,normal,none,evt_000103
u_00138,user,2026-01-01 11:14:00,51.236.202.102,United Kingdom,source_repo,token,9.69,read_file > download > download > read_file,ios-36-37:2b:39:31:bf:0e,normal,none,evt_000104
u_00193,user,2026-01-01 11:29:00,45.85.206.176,Singapore,vpn_gateway,password,21.1,search > login > logout > login > login > download,ios-92-a7:f2:58:50:53:5a,normal,none,evt_000105
u_00187,user,2026-01-01 11:43:00,51.143.248.211,United Kingdom,source_repo,password,8.1,download > login > search,android-98-72:c5:09:17:46:a7,normal,none,evt_000106
u_00154,user,2026-01-01 11:50:00,43.55.133.179,Japan,ticketing_portal,biometric,8.89,search > read_file > download > read_file > search,ios-13-a1:68:e1:4e:a3:70,normal,none,evt_000107
u_00133,user,2026-01-01 11:53:00,51.128.158.37,United Kingdom,fileshare,password,7.62,search > read_file > logout > search > read_file,linux-21-b5:8c:d4:b4:26:11,normal,none,evt_000108
u_00082,user,2026-01-01 11:59:00,103.245.139.57,India,vpn_gateway,token,6.73,logout > download > search,android-57-87:b8:3f:55:3e:4b,normal,none,evt_000109
u_00202,user,2026-01-01 12:01:00,103.40.151.159,India,source_repo,token,15.37,read_file > logout > search > read_file > login,android-94-11:06:67:be:14:4b,normal,none,evt_000110
u_00147,user,2026-01-01 12:21:00,103.61.195.170,India,ticketing_portal,biometric,7.35,download > read_file > download > read_file > login > read_file,android-81-3f:c6:bc:4a:ad:40,normal,none,evt_000111
u_00088,user,2026-01-01 12:24:00,103.165.125.42,India,source_repo,password,12.48,login > logout > download,ios-61-0a:fc:73:4a:e4:bf,normal,none,evt_000112
u_00247,user,2026-01-01 12:27:00,45.139.190.126,Singapore,source_repo,biometric,11.67,logout > login > search > download > read_file,ios-56-5f:9c:0b:30:c9:61,normal,none,evt_000113
u_00114,user,2026-01-01 12:34:00,45.91.116.124,Singapore,fileshare,token,12.47,search > search > login > read_file > search > logout,ios-13-ef:ae:e9:90:15:06,normal,none,evt_000114
u_00176,user,2026-01-01 12:40:00,45.28.125.96,Singapore,vpn_gateway,token,8.36,logout > logout > read_file > read_file > login,linux-11-73:3f:55:74:52:64,normal,none,evt_000115
u_00086,user,2026-01-01 12:41:00,103.109.150.91,India,mailbox,biometric,7.99,read_file > logout > search > login > login > logout,win-57-70:49:a3:c1:00:8d,normal,none,evt_000116
u_00127,user,2026-01-01 12:45:00,45.174.203.208,Singapore,fileshare,password,11.82,download > logout > read_file,linux-26-9d:52:2f:a7:2c:ac,normal,none,evt_000117
u_00077,user,2026-01-01 12:54:00,51.131.17.78,United Kingdom,fileshare,token,15.11,login > login > login > search,ios-31-32:19:79:c0:95:e1,anomaly,impossible_travel,evt_000118
u_00187,user,2026-01-01 12:56:00,51.47.85.118,United Kingdom,source_repo,token,10.1,search > read_file > login > read_file > login > logout,android-98-72:c5:09:17:46:a7,normal,none,evt_000119
u_00041,user,2026-01-01 13:17:00,45.192.237.112,Singapore,vpn_gateway,token,13.87,search > search > search > login > read_file,android-46-27:68:d7:37:f2:96,normal,none,evt_000120
u_00005,user,2026-01-01 13:17:00,103.109.86.61,India,vpn_gateway,biometric,11.16,search > search > read_file > logout > logout > read_file,ios-61-a2:90:8d:17:8f:cb,normal,none,evt_000121
u_00017,user,2026-01-01 13:20:00,34.92.170.50,United States,vpn_gateway,password,12.33,search > logout > download,linux-96-7f:80:6f:24:ef:03,normal,none,evt_000122
u_00094,user,2026-01-01 13:43:00,45.34.168.161,Singapore,source_repo,password,11.84,read_file > download > login > search,ios-30-c3:1a:7b:a0:74:b3,normal,none,evt_000123
u_00094,user,2026-01-01 13:55:00,45.187.127.33,Singapore,fileshare,password,9.23,logout > logout > logout > download > read_file > login,ios-30-c3:1a:7b:a0:74:b3,normal,none,evt_000124
u_00047,user,2026-01-01 14:26:00,103.147.245.128,India,mailbox,biometric,21.29,download > search > logout,linux-84-c1:0a:6f:7a:78:eb,normal,none,evt_000125
u_00114,user,2026-01-01 14:40:00,45.3.41.156,Singapore,fileshare,token,15.33,login > download > download,ios-13-ef:ae:e9:90:15:06,normal,none,evt_000126
u_00094,user,2026-01-01 15:13:00,45.201.223.185,Singapore,ticketing_portal,password,11.96,search > logout > read_file > logout > download,ios-30-c3:1a:7b:a0:74:b3,normal,none,evt_000127
u_00158,user,2026-01-01 15:44:00,103.118.4.170,India,ticketing_portal,password,10.22,search > download > read_file,android-52-8a:7f:15:9e:b8:ed,normal,none,evt_000128
u_00029,user,2026-01-01 15:45:00,51.234.3.24,United Kingdom,api_gateway,biometric,10.36,download > login > download,android-95-2b:cd:68:97:71:c8,normal,none,evt_000129
u_00086,user,2026-01-01 16:03:00,103.229.179.28,India,vpn_gateway,biometric,11.94,login > login > login > logout,win-57-70:49:a3:c1:00:8d,normal,none,evt_000130
u_00158,user,2026-01-01 16:06:00,103.49.105.104,India,source_repo,token,13.92,search > download > login > logout > search,android-52-8a:7f:15:9e:b8:ed,normal,none,evt_000131
u_00203,user,2026-01-01 16:47:00,103.150.18.233,India,ticketing_portal,token,11.23,read_file > search > download > search > download > read_file,linux-83-4e:23:bc:6d:18:b0,normal,none,evt_000132
e_00151,edge_device,2026-01-01 18:17:00,88.153.209.161,Germany,payment_service,token,11.04,read_sensor > logout > heartbeat > telemetry_push > heartbeat > logout,linux-29-8c:88:68:c7:cc:3e,normal,none,evt_000133
e_00060,edge_device,2026-01-01 20:16:00,103.127.77.21,India,vpn_gateway,biometric,0.5,logout > connect > read_sensor > heartbeat > telemetry_push > logout,win-62-9e:a7:06:4c:da:3d,normal,none,evt_000134
s_00242,service_account,2026-01-01 20:46:00,45.75.101.209,Singapore,database,token,8.06,read_config > api_call > api_call > write_log > write_log,linux-20-c9:1a:17:a3:38:59,normal,none,evt_000135
s_00065,service_account,2026-01-01 21:18:00,88.162.102.190,Germany,database,biometric,6.07,auth > read_config > write_log > write_log > api_call > auth,linux-39-3a:be:54:3f:ee:7b,normal,none,evt_000136
s_00031,service_account,2026-01-01 21:23:00,34.142.201.38,United States,source_repo,biometric,11.86,write_log > read_config > api_call > write_log,win-53-a8:ba:6b:eb:c6:35,normal,none,evt_000137
s_00038,service_account,2026-01-01 22:00:00,103.117.160.87,India,database,token,12.4,write_log > write_log > auth,linux-56-fa:bf:9c:82:0d:11,normal,none,evt_000138
e_00150,edge_device,2026-01-01 22:01:00,88.171.84.5,Germany,iot_hub,password,13.29,telemetry_push > telemetry_push > logout > heartbeat > telemetry_push,linux-14-73:59:d1:dd:c0:07,normal,none,evt_000139
e_00040,edge_device,2026-01-01 22:10:00,88.78.205.165,Germany,ticketing_portal,certificate,13.27,telemetry_push > heartbeat > read_sensor,ios-24-26:76:82:b0:67:e9,normal,none,evt_000140
e_00151,edge_device,2026-01-01 22:11:00,88.179.24.0,Germany,mailbox,token,5.92,logout > logout > telemetry_push > connect,linux-29-8c:88:68:c7:cc:3e,normal,none,evt_000141
s_00223,service_account,2026-01-01 22:34:00,34.134.62.24,United States,source_repo,token,12.73,auth > logout > api_call,ios-70-1d:bf:3f:84:ad:9a,normal,none,evt_000142
s_00165,service_account,2026-01-01 22:40:00,34.204.229.69,United States,database,token,5.48,read_config > read_config > api_call > logout > auth,ios-71-10:02:0e:ec:94:ce,normal,none,evt_000143
s_00242,service_account,2026-01-01 22:58:00,34.193.181.217,United States,database,token,8.43,logout > api_call > read_config,linux-20-c9:1a:17:a3:38:59,normal,none,evt_000144
e_00170,edge_device,2026-01-01 23:02:00,88.199.53.39,Germany,vpn_gateway,token,11.04,connect > read_sensor > telemetry_push > heartbeat,android-30-f8:31:8c:ca:14:11,normal,none,evt_000145
e_00234,edge_device,2026-01-01 23:17:00,103.64.96.138,India,vpn_gateway,token,18.45,telemetry_push > connect > connect,ios-69-2b:41:7c:82:2a:f2,normal,none,evt_000146
e_00009,edge_device,2026-01-01 23:22:00,103.212.43.197,India,fileshare,certificate,5.14,heartbeat > heartbeat > read_sensor > read_sensor,linux-90-20:74:b4:33:b8:4e,normal,none,evt_000147
s_00214,service_account,2026-01-01 23:36:00,103.64.182.157,India,admin_panel,token,5.88,auth > api_call > auth > read_config > write_log > logout,ios-19-45:d8:87:f9:df:8e,normal,none,evt_000148
e_00173,edge_device,2026-01-02 00:10:00,88.198.195.203,Germany,api_gateway,certificate,6.08,logout > heartbeat > heartbeat,ios-97-8a:26:73:16:ab:ac,normal,none,evt_000149
